"","state","puma","educ","lweekinc","exper","expersq"
"25410","Tennessee",3104,13,6.694181,28,784
"25424","Tennessee",1301,13,6.635341,24,576
"25513","Tennessee",3201,13,6.594098,21,441
"25520","Tennessee",2202,13,6.763174,37,1369
"25534","Tennessee",2600,12,5.474208,20,400
"25618","Tennessee",700,16,7.561682,20,400
"25625","Tennessee",1302,16,7.034049,37,1369
"25644","Tennessee",3101,12,5.893024,33,1089
"25649","Tennessee",2000,12,6.087648,39,1521
"25762","Tennessee",1900,12,5.952244,13,169
"25774","Tennessee",2300,12,6.320353,12,144
"25792","Tennessee",700,12,6.134565,28,784
"25829","Tennessee",300,16,6.696559,19,361
"25868","Tennessee",2202,12,5.601504,24,576
"25872","Tennessee",3202,13,6.422247,27,729
"25995","Tennessee",700,12,6.086775,24,576
"26009","Tennessee",2400,16,7.489111,35,1225
"26026","Tennessee",2201,16,6.645391,27,729
"26033","Tennessee",600,10,6.001034,20,400
"26037","Tennessee",1200,9,5.962194,26,676
"26164","Tennessee",2700,12,6.233656,31,961
"26199","Tennessee",802,12,6.717711,10,100
"26260","Tennessee",2300,12,6.206886,22,484
"26283","Tennessee",2800,13,5.818712,35,1225
"26290","Tennessee",3202,13,6.963845,36,1296
"26428","Tennessee",700,13,6.357709,22,484
"26434","Tennessee",2600,12,6.437752,11,121
"26467","Tennessee",1301,12,7.090077,42,1764
"26481","Tennessee",1400,13,5.991465,16,256
"26485","Tennessee",2700,12,6.214608,14,196
"26519","Tennessee",2800,16,6.506129,26,676
"26592","Tennessee",2600,12,6.214608,11,121
"26645","Tennessee",1900,11,5.637533,20,400
"26823","Tennessee",600,14,6.963845,16,256
"26860","Tennessee",3104,13,6.425367,23,529
"26868","Tennessee",600,16,7.130899,23,529
"26930","Tennessee",2300,13,6.400325,20,400
"26967","Tennessee",1000,16,6.083272,31,961
"26993","Tennessee",3102,13,6.645391,24,576
"27080","Tennessee",1100,12,5.664562,15,225
"27126","Tennessee",600,16,6.752001,16,256
"27140","Tennessee",2203,16,6.35102,8,64
"27219","Tennessee",1302,12,6.594098,27,729
"27221","Tennessee",200,10,6.533062,37,1369
"27229","Tennessee",501,12,6.56743,20,400
"27283","Tennessee",501,16,7.638643,7,49
"27330","Tennessee",1100,14,6.134565,6,36
"27371","Tennessee",2800,12,6.55108,28,784
"27394","Tennessee",1700,16,6.511859,17,289
"27439","Tennessee",2201,16,6.963845,10,100
"27493","Tennessee",3201,13,6.497471,18,324
"27661","Tennessee",3104,16,6.740701,19,361
"27741","Tennessee",700,13,5.521461,26,676
"27744","Tennessee",1900,14,6.645391,37,1369
"27979","Tennessee",400,12,5.438079,29,841
"28047","Tennessee",1600,12,6.717711,24,576
"28067","Tennessee",2300,12,6.482872,14,196
"28088","Tennessee",2100,11,5.153736,25,625
"28090","Tennessee",700,12,6.316887,28,784
"28097","Tennessee",2000,12,6.717711,30,900
"28131","Tennessee",502,14,6.827713,33,1089
"28156","Tennessee",3102,13,6.981863,12,144
"28158","Tennessee",1302,13,6.785153,23,529
"28177","Tennessee",801,12,6.963845,28,784
"28186","Tennessee",1100,11,5.866822,20,400
"28323","Tennessee",2000,16,6.553824,8,64
"28350","Tennessee",1900,14,6.864527,30,900
"28463","Tennessee",1500,10,6.559449,19,361
"28517","Tennessee",802,12,5.153736,17,289
"28595","Tennessee",2400,12,6.645391,24,576
"28641","Tennessee",2000,12,5.312502,25,625
"28647","Tennessee",3102,12,6.763174,26,676
"28691","Tennessee",1100,12,5.846883,11,121
"28773","Tennessee",2800,12,7.138867,29,841
"28774","Tennessee",1600,14,6.323807,15,225
"28800","Tennessee",700,12,6.763174,23,529
"28869","Tennessee",1600,13,6.511859,15,225
"29052","Tennessee",2100,12,6.670084,35,1225
"29063","Tennessee",2204,13,6.56743,16,256
"29075","Tennessee",2800,12,6.001034,16,256
"29183","Tennessee",1900,16,6.795706,40,1600
"29212","Tennessee",2203,16,8.743409,35,1225
"29267","Tennessee",1500,16,7.656992,8,64
"29337","Tennessee",1800,16,6.760949,9,81
"29344","Tennessee",1100,13,6.665194,22,484
"29395","Tennessee",2100,12,6.279147,19,361
"29398","Tennessee",502,11,6.357709,11,121
"29404","Tennessee",1301,13,8.743409,45,2025
"29409","Tennessee",3102,13,5.783825,20,400
